Name,Synonym,CAS,SMILES,CID
Rofleponide,,144459-70-1,C(CO)(=O)[C@]12[C@]3(C)[C@@](C[C@]1(O[C@@H](CCC)O2)[H])([C@]4([C@](F)([C@@H](O)C3)[C@]5(C)C([C@@H](F)C4)=CC(=O)CC5)[H])[H],
TAS-119,TAS 119; TAS119; TAS-2104; TAS 2104; TAS2104,1453099-83-6,O=C(O)C1(CC2=NC(NC3=NNC(=C3)C)=C(F)C=C2)CCN(C(=O)C=4C=CC=C(Cl)C4Cl)CC1,
Talviraline,Bay-10-8979; Bay 10-8979; Bay10-8979; Bay-108979; Bay 108979; Bay108979; HBY 097,163451-80-7,C(OC(C)C)(=O)N1C=2C(NC(=S)[C@@H]1CSC)=CC=C(OC)C2,
ZNL 02-096,Pomalidomide-C3-adavosertib ,2414418-49-6,O=C1C=2C=CC=C(NCCCN3CCN(C4=CC=C(C=C4)NC5=NC=C6C(=O)N(N(C=7N=C(C=CC7)C(O)(C)C)C6=N5)CC=C)CC3)C2C(=O)N1C8C(=O)NC(=O)CC8,
Tienoxolol FA,Tienoxolol FA (90055-97-3 Free base),T68161L,O=C(C1=CC(NC(C2=CC=CS2)=O)=CC=C1OCC(CNC(C)(C)C)O)OCC.[H]C(O)=O,
Isomer-Turosteride,Isomer-Turosteride(Isomer-137099-09-3),T71703L,C[C@@]12[C@](CC[C@@H]2C(N(C(C)C)C(NC(C)C)=O)=O)([H])[C@@]3([H])[C@@](CC1)([H])[C@@]4([C@](N(C(CC4)=O)C)([H])CC3)C,
MAT2A-IN-9,,2439277-80-0,O=C1N=C(N)C=2C=CC(=NC2N1C=3C=CC=CC3Cl)C(F)(F)F,
"5-Bromoimidazo[1,2-A]Pyrazine",,87597-26-0,BrC1=CN=CC2=NC=CN12,
MyD88-IN-1,,2911609-80-6,O=N(=O)C1=CC=CC(=C1)CN2CCN(C3=CC=C(C=C3N(=O)=O)S(=O)(=O)NC4=CN=C(OC)C=C4)CC2,
MMP-9-IN-6,,2241964-36-1,O1C(=CC(=C1C=2C=CC=CC2)C3=CNC=4C=CC=C(OC)C43)C=5C=CC=CC5,
Pemedolac,Dexpemedolac,114716-16-4,C(C(O)=O)[C@@]1(CC)C2=C(C=3C(N2)=CC=CC3)[C@@H](CC4=CC=CC=C4)CO1,
Mofarotene,Ro 40-8757; Ro-40-8757,125533-88-2,CC1(C)C=2C(C(C)(C)CC1)=CC=C(\C(=C\C3=CC=C(OCCN4CCOCC4)C=C3)\C)C2,
5-Hydroxydopamine hydrochloride,,5720-26-3,Cl.OC=1C=C(C=C(O)C1O)CCN,
Asundexian,BAY-2433334; BAY 2433334; BAY2433334,2064121-65-7,O(C)C=1C(C2=C(C=CC(Cl)=C2)N3C=C(C(F)(F)F)N=N3)=CC(=O)N([C@H](C(NC4=CC(F)=C(C(N)=O)C=C4)=O)CC)C1,
Funapide,TV 45070; XEN402,1259933-16-8,O=C1[C@]2(C=3C(OC2)=CC4=C(C3)OCO4)C=5C(N1CC=6OC(C(F)(F)F)=CC6)=CC=CC5,
CM037,CM-037; CM 037; A37; A-37; A 37,896795-60-1,O=C(OCC)CSC1=NC2=C(SC=3C=CC=CC32)C(=O)N1CCCN4CCCC4,
VT103,VT 103; VT-103,2290608-13-6,O=S(=O)(NC)C=1C=CC(NC2=CC=C(C=C2)C(F)(F)F)=C(C1)C=3N=CN(C3)C,
LDHA-IN-3,PSTMB; 1-(phenylseleno)-4-(trifluoromethyl) benzene,227010-33-5,FC(F)(F)C1=CC=C([Se]C=2C=CC=CC2)C=C1,
Cytembena,,21739-91-3,COC1=CC=C(C(/C(Br)=C\C([O-])=O)=O)C=C1.[Na+],
AK301,AK-301; AK 301,314022-97-4,O=C(C=1C=CC=CC1OCC)N2CCN(C=3C=CC=C(Cl)C3)CC2,
Antifolate C2,AGF154; AGF-154; AGF 154,1286279-90-0,O=C1C2=C(NC(CCCC3=CC(C(N[C@@H](CCC(O)=O)C(O)=O)=O)=CS3)=C2)NC(N)=N1,
Aloisine B,AloisineB,496864-14-3,ClC1=CC=C(C=C1)C=2NC=3N=CC=NC3C2C(C)C,
GNE-900,GNE 900; GNE900,1200126-26-6,N#CC1=NC=C2NC3=NC=C(C=C3C2=C1)C=4C=CC(=CC4)CN5CCCCC5,
2'-Deoxy-2'-fluoro-beta-D-arabinoguanosine,,103884-98-6,O=C1C2=C(N(C=N2)[C@@H]3O[C@H](CO)[C@@H](O)[C@@H]3F)NC(N)=N1,
4-Thiothymidine,,7236-57-9,O=C1N([C@@H]2O[C@H](CO)[C@@H](O)C2)C=C(C)C(=S)N1,
FMAU,2'-Deoxy-2'-fluoro-5-methyl-beta-D-arabinouridine,69256-17-3,F[C@@H]1[C@@H](O[C@H](CO)[C@H]1O)N2C(=O)NC(=O)C(C)=C2,
Enpp/Carbonic anhydrase-IN-2,,2883495-39-2,O=C(NC1=CC=C(OS(=O)(=O)C2=CC=C(F)C=C2)C=C1)C34CC5CC(CC(C5)C3)C4,
Nebularine,9-(beta-D-Ribofuranosyl)-9H-purine,550-33-4,O[C@H]1[C@H](N2C=3C(N=C2)=CN=CN3)O[C@H](CO)[C@H]1O,
GSK3-IN-2,,380450-97-5,O=C1C2=C(NC=3NN=C(C3C2C4=CSC=C4)C)CC(C)(C)C1,
1-(2-Deoxy-2-fluoro-beta-D-arabinofuranosyl)uracil,,69123-94-0,F[C@@H]1[C@@H](O[C@H](CO)[C@H]1O)N2C(=O)NC(=O)C=C2,
6-Azauridine,6-Azuridine,54-25-1,O[C@H]1[C@@H](O[C@H](CO)[C@H]1O)N2C(=O)NC(=O)C=N2,
1-beta-D-Arabinofuranosylthymine,Thymine 1-β-D-arabinofuranoside ; Spongothymidine,605-23-2,O[C@@H]1[C@@H](O[C@H](CO)[C@H]1O)N2C(=O)NC(=O)C(C)=C2,
5-Methoxyuridine,Mo5U,35542-01-9,O[C@H]1[C@@H](O[C@H](CO)[C@H]1O)N2C=C(OC)C(=O)NC2=O,
MDL-800,MDL800; MDL 800,2275619-53-7,O=C(OC)C1=CC(=CC=C1S(=O)(=O)NC2=CC(Br)=C(F)C=C2C)NS(=O)(=O)C=3C=C(Cl)C=C(Cl)C3,
Naluzotan hydrochloride, PRX 00023 hydrochloride,740873-82-9,Cl.O=C(NC1=CC=CC(=C1)N2CCN(CC2)CCCCNS(=O)(=O)CC3CCCCC3)C,
CYP1B1-IN-4,,2685779-55-7,N#CC=1C=CC(=CC1)C=2N=C(SC2)C=3C=CC(OC)=CC3OC,
Ly-295501,Ly 295501; Ly295501; ILX-295501,150869-74-2,O=C(NC1=CC=C(Cl)C(Cl)=C1)NS(=O)(=O)C2=CC=C3OCCC3=C2,
JP1302,,80259-18-3,N=1C=2C=CC=CC2C(NC3=CC=C(C=C3)N4CCN(C)CC4)=C5C=CC=CC15,
Rafabegron,TAK-677; TAK677; AD-9677; AD9677,244081-42-3,O(CC(O)=O)C1=C2C(C(C[C@H](NC[C@H](O)C3=CC(Cl)=CC=C3)C)=CN2)=CC=C1,
Dmt-2'fluoro-da(bz) amidite,,136834-22-5,C(OC[C@@H]1[C@@H](OP(N(C(C)C)C(C)C)OCCC#N)[C@@H](F)[C@@H](O1)N2C=3C(N=C2)=C(NC(=O)C4=CC=CC=C4)N=CN3)(C5=CC=C(OC)C=C5)(C6=CC=C(OC)C=C6)C7=CC=CC=C7,
MMP-3 Inhibitor,,158841-76-0,C([C@@H](NC(CNC([C@@H](NC([C@H](CCCNC(=N)N)NC(C)=O)=O)CS)=O)=O)[C@H](C)C)(=O)N1[C@H](C(N[C@@H](CC(O)=O)C(N)=O)=O)CCC1,
N-decanoyl-L-Homoserine lactone,C10-HSL,177315-87-6,N(C(CCCCCCCCC)=O)[C@@H]1C(=O)OCC1,
PU-H71 HCl,PU-H71 HCl(873436-91-0 Free base); Zelavespib HCl,2095432-24-7,Cl.IC=1C=C2OCOC2=CC1SC3=NC=4C(=NC=NC4N3CCCNC(C)C)N,
NG-497,NG497,2598242-66-9,O=C(OC(C)C)C=1N=C(C=C(OC)C1)C=2C=CC(OCC)=CC2,
SLU-PP-1072,,2285432-57-5,O=C(NC=1C=CC=2N=CSC2C1)C=3OC(=CC3)C=4C=CC(O)=CC4,
COX-2-IN-34,,2788578-71-0,O=C(NC=1C=CC=CC1O)C=2C=CC=C(O)C2O,
Topoisomerase II inhibitor 14,,305343-00-4,ClC1=CC=C(C(Cl)=C1)C2N=C(N=C3NC=4C=CC=CC4N32)N,
3'-Deoxy-3'-fluoroadenosine,,75059-22-2,O[C@H]1[C@H](N2C=3C(N=C2)=C(N)N=CN3)O[C@H](CO)[C@H]1F,
2'-Deoxy-2'-fluoroarabinoadenosine,,20227-41-2,F[C@@H]1[C@H](N2C=3C(N=C2)=C(N)N=CN3)O[C@H](CO)[C@H]1O,
3'-Deoxy-3'-fluoroguanosine,,123402-21-1,O=C1C2=C(N(C=N2)[C@@H]3O[C@H](CO)[C@@H](F)[C@H]3O)NC(N)=N1,
9-(β-D-Xylofuranosyl)adenine,Xylosyladenine; Adenine xyloside,524-69-6,O[C@H]1[C@H](N2C=3C(N=C2)=C(N)N=CN3)O[C@H](CO)[C@@H]1O,
N6-Methyl-2'-O-methyladenosine,"N6,2′-O-Dimethyladenosine",57817-83-1,O(C)[C@H]1[C@H](N2C=3C(N=C2)=C(NC)N=CN3)O[C@H](CO)[C@H]1O,
8-Azaguanosine,,2133-80-4,O=C1C2=C(N(N=N2)[C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)NC(N)=N1,
6-Methoxy-9-(2-C-methyl-beta-D-ribofuranosyl)purine,2′-C-Methyl-6-O-methylinosine,565450-78-4,C[C@]1(O)[C@@H](O[C@H](CO)[C@H]1O)N2C=3C(N=C2)=C(OC)N=CN3,
Refametinib R enantiomer,BAY 869766 R enantiomer; RDEA119 R enantiomer,923032-38-6,S(NC1=C(NC2=C(F)C=C(I)C=C2)C(F)=C(F)C=C1OC)(=O)(=O)C3(C[C@H](CO)O)CC3,
Itasetron,DAU 6215CL; DAU6215CL; U 98079A; U-98079A,123258-84-4,C(N[C@H]1C[C@@]2(N(C)[C@](C1)(CC2)[H])[H])(=O)N3C=4C(NC3=O)=CC=CC4,
PI3Kδ-IN-3,TC KHNS 11,1431540-99-6,N#CC=1C=C(C=NC1OC)C2=CC=C3N=CN=C(C=4C=CC=C(C4)C(=O)N5CCN(C(=O)C)CC5)C3=C2,
Vorozole,(+)-Vorozole; R83842,129731-10-8,[C@@H](C=1C=C2C(=CC1)N=NN2C)(C3=CC=C(Cl)C=C3)N4C=NC=N4,
ZEN-3694,ZEN 3694; ZEN3694,1643947-30-1,N=1OC(=C(C=2C=NC=3N=C(NC)N(C3C2)CC=4C=CC=CC4)C1C)C,
Sovleplenib,HMPL-523; HMPL 523; HMPL523,1415792-84-5,N(C[C@@H]1CNCCO1)C=2C3=C(C=C(N2)C4=CC=C(C=C4)C5CCN(S(C)(=O)=O)CC5)N=CC=N3,
Deoxyguanosine triphosphate trisodium salt,Deoxyguanosine 5-triphosphate; dGTP trisodium salt; 2'-Deoxyguanosine-5'-triphosphate trisodium salt,93919-41-6,O=C1C2=C(N(C=N2)[C@@H]3O[C@H](COP(OP(OP(=O)(O)O)(=O)O)(=O)O)[C@@H](O)C3)NC(N)=N1.[Na],
Taletrectinib free base,DS-6051b free base; AB-106freebase; IBI-344 free base,1505514-27-1,N([C@H](C)C1=CC(F)=CC=C1)C2=NN3C(=CN=C3C=C2)C4=CC=C(OC[C@@H](C)N)C=C4,
PI3K/Akt/mTOR-IN-2,,2757804-89-8,FC=1C=C(F)C=C(C1)C2OCCC=3C=4C=CC=CC4NC32,
Laprafylline,,90749-32-9,O=C1C=2NC(=NC2N(C(=O)N1C)CC(C)C)CCN3CCN(CC3)C(C=4C=CC=CC4)C=5C=CC=CC5,
RU-SKI 43,RUSKI 43,1043797-53-0,O=C(N1CCC=2SC=CC2C1COC3=CC=CC(=C3)C)CNCC(C)CC,
Tafetinib,SIM-010603; SIM010603; SIM 010603,1032265-57-8,O=C1/C(=C/2\C3=C(C(C(NCCN(CC)CC)=O)=C(C)N3)CCC2)/C=4C(N1)=CC=C(F)C4,
KRAS G12C inhibitor 19,,2649788-46-3,C(#N)C=1C2=C(C=CC(F)=C2SC1N)C=3C(Cl)=C4C(=CC3F)C(=O)N5[C@@](CCO4)(CN(C(C=C)=O)CC5)[H],
BAY-179,,2764880-87-5,N1=CC=CC=2NC(=NC12)CN3CCC(C4=NC(=CS4)C=5OC=6C=CC=CC6C5)CC3,
PI3K-IN-38,,1382979-64-7,N=1C(=NC(=C2N=C3N(C12)CCOC3(C)C)N4CCOCC4)C=5C=CC(N)=CC5,
COX-2-IN-6,,2756347-91-6,O=S(=O)(C=1C=CC(=CC1)C2=CC(=C(N=C2OCC(O)(C)C)OCCC)CO)C,
Crobenetine,Crobenetine Free Base; BIII 890 CL,221019-25-6,C[C@]12C=3C(C[C@](C1(C)C)(N(C[C@@H](OCC4=CC=CC=C4)C)CC2)[H])=C(O)C=CC3,
ITF3756,,2247608-27-9,O=C(NO)C1=CC=C(C=C1)CN2N=NN=C2C=3SC=CC3,
"(1R,2R)-(-)-1,2-Diaminocyclohexane","(1R,2R)-Cyclohexane-1,2-diamin",20439-47-8,N[C@H]1[C@H](N)CCCC1,
7-FluorotryptaMine HCl,,159730-09-3,Cl.FC1=CC=CC=2C(=CNC12)CCN,
"2',5-Difluoro-2'-deoxy-1-arabinosyluracil",2'-Deoxy-2'-fluoro-5-fluoro-arabinouridine,69123-95-1,F[C@@H]1[C@@H](O[C@H](CO)[C@H]1O)N2C(=O)NC(=O)C(F)=C2,
4-(2-Aminoethyl)amino-7-chloroquinoline,"N1-(7-Chloroquinolin-4-yl)ethane-1,2-diamine",5407-57-8,ClC=1C=CC=2C(=NC=CC2NCCN)C1,
3-Methoxy-9H-Carbazole,,18992-85-3,O(C=1C=CC=2NC=3C=CC=CC3C2C1)C,
"6-Bromo-4-methoxypyrazolo[1,5-a]pyridine-3-carbonitrile",,1207836-10-9,N#CC=1C=NN2C=C(Br)C=C(OC)C12,
Tubulin polymerization-IN-43,,2773345-90-5,FC=1C=CC=2N=C(N=C(C2C1)N(C3=CC=C(OC)C=C3)C)C(F)(F)F,
"3-Morpholino-1-(4-(2-oxopiperidin-1-yl)phenyl)-5,6-dihydropyridin-2(1H)-one",,545445-44-1,O=C1C(=CCCN1C2=CC=C(C=C2)N3C(=O)CCCC3)N4CCOCC4,
Berberine chloride hydrate,Natural Yellow 18 chloride hydrate,68030-18-2,[Cl-].O.O(C=1C=CC2=CC=3C4=CC=5OCOC5C=C4CC[N+]3C=C2C1OC)C,
AKT Kinase Inhibitor,,842148-40-7,OCC#CC=1N=CC(OCCCN)=C2C1N=C(C3=NON=C3N)N2CC,
ZK-90055 hydrochloride,ZK90055 hydrochloride; ZK 90055 hydrochloride,84638-81-3,Cl.O=C(OC)C1=CC=2C(N1)=C(O)C=CC2C(O)CNC(C)(C)C,
SYM2206,SYM 2206; SYM-2206,173952-44-8,O=C(NCCC)N1N=C(C=2C=CC(N)=CC2)C=3C=C4OCOC4=CC3C1C,
GSK9027,GSK 9027; GSK-9027; GR agonist 23a,1229096-88-1,O=S(=O)(NC=1C=CC(C2=CC=C3C(C=NN3C4=CC=C(F)C=C4)=C2)=C(C1)C(F)(F)F)CC=5C=CC=CC5,
Angstrom6,A-6 peptide; A6 peptide; A 6 peptide,220334-14-5,C(=O)([C@H]1N(C([C@@H](NC([C@@H](NC(=O)[C@H]2N(C([C@H](CCCCN)NC(C)=O)=O)CCC2)CO)=O)CO)=O)CCC1)N3[C@H](C(N[C@H](C(N[C@@H](CCC(O)=O)C(N)=O)=O)CCC(O)=O)=O)CCC3,
T-0509,T 0509; T0509,96843-99-1,C(CNC[C@H](O)C1=CC(O)=C(O)C=C1)C2=CC(OC)=C(OC)C=C2,
L-Uridine,,26287-69-4,O[C@@H]1[C@H](O[C@@H](CO)[C@@H]1O)N2C(=O)NC(=O)C=C2,
PERK-IN-4,,1337531-89-1,O=C(N1C=2C=CC(=CC2CC1)C3=CN(C=4N=CN=C(N)C34)C)CC5=CC(F)=CC(=C5)C(F)(F)F,
Exarafenib,RAF/KIN_2787,2639957-39-2,CC=1C(C=2C=C(N=C(N[C@@H](CO)C)C2)N3CCOCC3)=CC(NC(=O)N4C[C@H](CC(F)(F)F)CC4)=CC1,
Tolamolol,,38103-61-6,O=C(N)C1=CC=C(OCCNCC(O)COC=2C=CC=CC2C)C=C1,
NX-2127,NX2127; NX 2127,2416131-46-7,O=C1C=2C(C(=O)N1C3C(=O)NC(=O)CC3)=CC=C(C2)N4C[C@H](CN5CCC(CC5)C6=CC=C(NC=7C(C(N)=O)=NC=C(N7)N8CCCCC8)C=C6)CC4,
VEGFR-3-IN-1,,2756668-73-0,O=C(NC1=CC=C(Cl)C(=C1)C(F)(F)F)N2CCN(C=3N=CN=C4SC(=CC43)C5=CC=C(C=C5)N6CCN(C)CC6)CC2,
Tubulin polymerization-IN-47,,2834087-62-4,N=1C=CN2C=C(N=C2C1C=3C=C(OC)C(OC)=C(OC)C3)C=4C=CC(=CC4)C,
5-LOX-IN-2,,179691-97-5,C(=C/C(OCCC1=CC=CC=C1)=O)\C2=C(O)C=CC(O)=C2,
Imatinib Mesylate (STI571),,220127-57-1,CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC=CC(=N4)C5=CN=CC=C5.CS(=O)(=O)O,123596.0
Lapatinib (GW-572016) Ditosylate,,388082-77-7,CC1=CC=C(C=C1)S(=O)(=O)O.CC1=CC=C(C=C1)S(=O)(=O)O.CS(=O)(=O)CCNCC1=CC=C(O1)C2=CC3=C(C=C2)N=CN=C3NC4=CC(=C(C=C4)OCC5=CC(=CC=C5)F)Cl,9941095.0
Pazopanib HCl (GW786034 HCl),,635702-64-6,CC1=C(C=C(C=C1)NC2=NC=CC(=N2)N(C)C3=CC4=NN(C(=C4C=C3)C)C)S(=O)(=O)N.Cl,11525740.0
"Temsirolimus (CCI-779, NSC 683864)",,162635-04-3,CC1CCC2CC(C(=CC=CC=CC(CC(C(=O)C(C(C(=CC(C(=O)CC(OC(=O)C3CCCCN3C(=O)C(=O)C1(O2)O)C(C)CC4CCC(C(C4)OC)OC(=O)C(C)(CO)CO)C)C)O)OC)C)C)C)OC,6918289.0
Brivanib (BMS-540215),,649735-46-6,CC1=CC2=C(N1)C=CC(=C2F)OC3=NC=NN4C3=C(C(=C4)OCC(C)O)C,11234052.0
Quisinostat (JNJ-26481585) 2HCl,,875320-31-3,CN1C=C(C2=CC=CC=C21)CNCC3CCN(CC3)C4=NC=C(C=N4)C(=O)NO.Cl.Cl,122129987.0
"Roscovitine (Seliciclib,CYC202)",,186692-46-6 ,CCC(CO)NC1=NC(=C2C(=N1)N(C=N2)C(C)C)NCC3=CC=CC=C3,160355.0
Bleomycin sulfate,,9041-93-4,CC1=C(N=C(N=C1N)C(CC(=O)N)NCC(C(=O)N)N)C(=O)NC(C(C2=CN=CN2)OC3C(C(C(C(O3)CO)O)O)OC4C(C(C(C(O4)CO)O)OC(=O)N)O)C(=O)NC(C)C(C(C)C(=O)NC(C(C)O)C(=O)NCCC5=NC(=CS5)C6=NC(=CS6)C(=O)NCCC[S+](C)C)O.OS(=O)(=O)[O-],72466.0
Flavopiridol (Alvocidib),,146426-40-6,CN1CCC(C(C1)O)C2=C(C=C(C3=C2OC(=CC3=O)C4=CC=CC=C4Cl)O)O,5287969.0
Ondansetron HCl,,99614-01-4,CC1=NC=CN1CC2CCC3=C(C2=O)C4=CC=CC=C4N3C.Cl,68647.0
Ziprasidone HCl,,122883-93-6,C1CN(CCN1CCC2=C(C=C3C(=C2)CC(=O)N3)Cl)C4=NSC5=CC=CC=C54.Cl,219099.0
Tipifarnib ,,192185-72-1,CN1C=NC=C1C(C2=CC=C(C=C2)Cl)(C3=CC4=C(C=C3)N(C(=O)C=C4C5=CC(=CC=C5)Cl)C)N,159324.0
Zibotentan (ZD4054),,186497-07-4,CC1=CN=C(C(=N1)OC)NS(=O)(=O)C2=C(N=CC=C2)C3=CC=C(C=C3)C4=NN=CO4,9910224.0
Daclatasvir (BMS-790052),,1009119-64-5,CC(C)C(C(=O)N1CCCC1C2=NC=C(N2)C3=CC=C(C=C3)C4=CC=C(C=C4)C5=CN=C(N5)C6CCCN6C(=O)C(C(C)C)NC(=O)OC)NC(=O)OC,25154714.0
HMN-214,,173529-46-9 ,CC(=O)N(C1=CC=CC=C1C=CC2=CC=[N+](C=C2)[O-])S(=O)(=O)C3=CC=C(C=C3)OC,9888590.0
Pralatrexate ,,146464-95-1,C#CCC(CC1=CN=C2C(=N1)C(=NC(=N2)N)N)C3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O,148121.0
Cyclosporine ,,79217-60-0,CCC1C(=O)N(CC(=O)N(C(C(=O)NC(C(=O)N(C(C(=O)NC(C(=O)NC(C(=O)N(C(C(=O)N(C(C(=O)N(C(C(=O)N(C(C(=O)N1)C(C(C)CC=CC)O)C)C(C)C)C)CC(C)C)C)CC(C)C)C)C)C)CC(C)C)C)C(C)C)CC(C)C)C)C,6435893.0
R406 (free base),,841290-80-0,CC1(C(=O)NC2=C(O1)C=CC(=N2)NC3=NC(=NC=C3F)NC4=CC(=C(C(=C4)OC)OC)OC)C,11213558.0
Saxagliptin,,361442-04-8,C1C2CC2N(C1C#N)C(=O)C(C34CC5CC(C3)CC(C5)(C4)O)N,11243969.0
Naproxen Sodium,,26159-34-2,CC(C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)[O-].[Na+],23681059.0
Allopurinol Sodium ,,17795-21-0,C1=NNC2=C1C(=NC=N2)[O-].[Na+],23662349.0
Betamethasone Valerate,,2152-44-5 ,CCCCC(=O)OC1(C(CC2C1(CC(C3(C2CCC4=CC(=O)C=CC43C)F)O)C)C)C(=O)CO,16533.0
Emtricitabine ,,143491-57-0 ,C1C(OC(S1)CO)N2C=C(C(=NC2=O)N)F,60877.0
Gemcitabine ,,95058-81-4 ,C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)(F)F,60750.0
Glyburide (Glibenclamide),,10238-21-8 ,COC1=C(C=C(C=C1)Cl)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCCCC3,3488.0
Fomepizole ,,7554-65-6 ,CC1=CNN=C1,3406.0
Terbinafine ,,91161-71-6 ,CC(C)(C)C#CC=CCN(C)CC1=CC=CC2=CC=CC=C21,1549008.0
NEXIUM (esomeprazole magnesium),,161973-10-0 ,CC1=CN=C(C(=C1OC)C)CS(=O)C2=NC3=C([N-]2)C=CC(=C3)OC.CC1=CN=C(C(=C1OC)C)CS(=O)C2=NC3=C([N-]2)C=CC(=C3)OC.[Mg+2],130564.0
Octocrylene,,6197-30-4 ,CCCCC(CC)COC(=O)C(=C(C1=CC=CC=C1)C2=CC=CC=C2)C#N,22571.0
Tetrabenazine (Xenazine),,58-46-8 ,CC(C)CC1CN2CCC3=CC(=C(C=C3C2CC1=O)OC)OC,6018.0
Proparacaine HCl,,5875-06-9,CCCOC1=C(C=C(C=C1)C(=O)OCCN(CC)CC)N.Cl,517321.0
Diltiazem HCl ,,33286-22-5 ,CC(=O)OC1C(SC2=CC=CC=C2N(C1=O)CCN(C)C)C3=CC=C(C=C3)OC.Cl,62920.0
Diphenhydramine HCl ,,147-24-0 ,CN(C)CCOC(C1=CC=CC=C1)C2=CC=CC=C2.Cl,8980.0
Valaciclovir HCl,,124832-27-5 ,CC(C)C(C(=O)OCCOCN1C=NC2=C1N=C(NC2=O)N)N.Cl,135398741.0
Potassium Iodide,,7681-11-0,[K+].[I-],4875.0
Tropisetron HCl,,105826-92-4 ,CN1C2CCC1CC(C2)OC(=O)C3=CNC4=CC=CC=C43.Cl,656664.0
Nystatin (Fungicidin),,62997-67-5,CC1C=CC=CCCC=CC=CC=CC=CC(CC2C(C(CC(O2)(CC(C(CCC(CC(CC(CC(=O)OC(C(C1OC3CC(C(C(O3)C)O)O)C)C)O)O)O)O)O)O)O)C(=O)O)OC4C(C(C(C(O4)C)O)N)O,11953998.0
Rimantadine ,,13392-28-4,CC(C12CC3CC(C1)CC(C3)C2)N,5071.0
Adenine HCl,,2922-28-3 ,C1=NC2=NC=NC(=C2N1)N.Cl,76219.0
Capsaicin(Vanilloid),,404-86-4,CC(C)C=CCCCCC(=O)NCC1=CC(=C(C=C1)O)OC,1548943.0
Pramipexole 2HCl Monohydrate ,,191217-81-9,CCCNC1CCC2=C(C1)SC(=N2)N.O.Cl.Cl,166589.0
ENMD-2076 L-(+)-Tartaric acid ,,1291074-87-7,CC1=CC(=NN1)NC2=CC(=NC(=N2)C=CC3=CC=CC=C3)N4CCN(CC4)C.C(C(C(=O)O)O)(C(=O)O)O,66576993.0
Cyproheptadine HCl ,,969-33-5,CN1CCC(=C2C3=CC=CC=C3C=CC4=CC=CC=C42)CC1.Cl,13770.0
Orphenadrine Citrate ,,4682-36-4,CC1=CC=CC=C1C(C2=CC=CC=C2)OCCN(C)C.C(C(=O)O)C(CC(=O)O)(C(=O)O)O,83823.0
Terazosin HCl Dihydrate,,70024-40-7,COC1=C(C=C2C(=C1)C(=NC(=N2)N3CCN(CC3)C(=O)C4CCCO4)N)OC.O.O.Cl,63016.0
Tiopronin ,,1953-02-2,CC(C(=O)NCC(=O)O)S,5483.0
Rosiglitazone HCl,,302543-62-0,CN(CCOC1=CC=C(C=C1)CC2C(=O)NC(=O)S2)C3=CC=CC=N3.Cl,9865387.0
Moexipril HCl,,82586-52-5,CCOC(=O)C(CCC1=CC=CC=C1)NC(C)C(=O)N2CC3=CC(=C(C=C3CC2C(=O)O)OC)OC.Cl,54889.0
Procaterol HCl,,62929-91-3,CCC(C(C1=C2C=CC(=O)NC2=C(C=C1)O)O)NC(C)C.Cl,43091.0
Duloxetine HCl,,136434-34-9 ,CNCCC(C1=CC=CS1)OC2=CC=CC3=CC=CC=C32.Cl,60834.0
Detomidine HCl,,90038-01-0,CC1=C(C(=CC=C1)CC2=CN=CN2)C.Cl,56031.0
Pantoprazole ,,102625-70-7,COC1=C(C(=NC=C1)CS(=O)C2=NC3=C(N2)C=C(C=C3)OC(F)F)OC,4679.0
S- (+)-Rolipram,,85416-73-5,COC1=C(C=C(C=C1)C2CC(=O)NC2)OC3CCCC3,158758.0
Bazedoxifene HCl,,198480-56-7,CC1=C(N(C2=C1C=C(C=C2)O)CC3=CC=C(C=C3)OCCN4CCCCCC4)C5=CC=C(C=C5)O.Cl,9936012.0
Rosuvastatin Calcium,, 147098-20-2,CC(C)C1=NC(=NC(=C1C=CC(CC(CC(=O)[O-])O)O)C2=CC=C(C=C2)F)N(C)S(=O)(=O)C.CC(C)C1=NC(=NC(=C1C=CC(CC(CC(=O)[O-])O)O)C2=CC=C(C=C2)F)N(C)S(=O)(=O)C.[Ca+2],5282455.0
DL-Carnitine HCl,,461-05-2,C[N+](C)(C)CC(CC(=O)O)O.[Cl-],5970.0
Morin Hydrate,,6202-27-3,C1=CC(=C(C=C1O)O)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O.O,16219651.0
Neohesperidin Dihydrochalcone (Nhdc),,20702-77-6 ,CC1C(C(C(C(O1)OC2C(C(C(OC2OC3=CC(=C(C(=C3)O)C(=O)CCC4=CC(=C(C=C4)OC)O)O)CO)O)O)O)O)O,30231.0
Rotenone (Barbasco),,83-79-4 ,CC(=C)C1CC2=C(O1)C=CC3=C2OC4COC5=CC(=C(C=C5C4C3=O)OC)OC,6758.0
Yohimbine HCl,,65-19-0 ,COC(=O)C1C(CCC2C1CC3C4=C(CCN3C2)C5=CC=CC=C5N4)O.Cl,6169.0
